Number,CEID,Status ( >0 : Enable; <0 : Disable),Comment,
  348),421,1,E94 : CJOB_QUEUED,

  349),422,1,E94 : CJOB_SELECTED,

  350),423,1,E94 : CJOB_WAITING_FOR_START,

  351),424,1,E94 : CJOB_EXECUTING,

  352),425,1,E94 : CJOB_PAUSED,

  353),426,1,E94 : CJOB_COMPLETE,

  354),427,1,E94 : CJOB_STATE_CHANGE,

  355),428,1,E94 : CJOB_DEQUEUE,

  356),429,1,E94 : CJOB_DESELECT,

  357),430,1,E94 : CJOB_EXTINCTION,

  358),11001,1,E30 : CHM1_STAGE1__WAFER_PROCESS_START,

  359),11002,1,E30 : CHM1_STAGE1__WAFER_PROCESS_END,

  360),11003,1,E30 : CHM1_STAGE1__STEP_START,

  361),11004,1,E30 : CHM1_STAGE1__STEP_END,

  362),11006,1,E30 : CHM1_STAGE1__WAFER_IN,

  363),11007,1,E30 : CHM1_STAGE1__WAFER_OUT,

  364),12001,1,E30 : CHM1_STAGE2__WAFER_PROCESS_START,

  365),12002,1,E30 : CHM1_STAGE2__WAFER_PROCESS_END,

  366),12003,1,E30 : CHM1_STAGE2__STEP_START,

  367),12004,1,E30 : CHM1_STAGE2__STEP_END,

  368),12006,1,E30 : CHM1_STAGE2__WAFER_IN,

  369),12007,1,E30 : CHM1_STAGE2__WAFER_OUT,

  370),13001,1,E30 : CHM1_STAGE3__WAFER_PROCESS_START,

  371),13002,1,E30 : CHM1_STAGE3__WAFER_PROCESS_END,

  372),13003,1,E30 : CHM1_STAGE3__STEP_START,

  373),13004,1,E30 : CHM1_STAGE3__STEP_END,

  374),13006,1,E30 : CHM1_STAGE3__WAFER_IN,

  375),13007,1,E30 : CHM1_STAGE3__WAFER_OUT,

  376),21001,1,E30 : CHM2_STAGE1__WAFER_PROCESS_START,

  377),21002,1,E30 : CHM2_STAGE1__WAFER_PROCESS_END,

  378),21003,1,E30 : CHM2_STAGE1__STEP_START,

  379),21004,1,E30 : CHM2_STAGE1__STEP_END,

  380),21006,1,E30 : CHM2_STAGE1__WAFER_IN,

  381),21007,1,E30 : CHM2_STAGE1__WAFER_OUT,

  382),22001,1,E30 : CHM2_STAGE2__WAFER_PROCESS_START,

  383),22002,1,E30 : CHM2_STAGE2__WAFER_PROCESS_END,

  384),22003,1,E30 : CHM2_STAGE2__STEP_START,

  385),22004,1,E30 : CHM2_STAGE2__STEP_END,

  386),22006,1,E30 : CHM2_STAGE2__WAFER_IN,

  387),22007,1,E30 : CHM2_STAGE2__WAFER_OUT,

  388),23001,1,E30 : CHM2_STAGE3__WAFER_PROCESS_START,

  389),23002,1,E30 : CHM2_STAGE3__WAFER_PROCESS_END,

  390),23003,1,E30 : CHM2_STAGE3__STEP_START,

  391),23004,1,E30 : CHM2_STAGE3__STEP_END,

  392),23006,1,E30 : CHM2_STAGE3__WAFER_IN,

  393),23007,1,E30 : CHM2_STAGE3__WAFER_OUT,

  394),24001,1,E30 : CHM2_STAGE4__WAFER_PROCESS_START,

  395),24002,1,E30 : CHM2_STAGE4__WAFER_PROCESS_END,

  396),24003,1,E30 : CHM2_STAGE4__STEP_START,

  397),24004,1,E30 : CHM2_STAGE4__STEP_END,

  398),24006,1,E30 : CHM2_STAGE4__WAFER_IN,

  399),24007,1,E30 : CHM2_STAGE4__WAFER_OUT,

